Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
29,3,+0:25,,3.0,Wadecki Piotr,3,Domo - Farm Frites,0:25 0:25,+0:00,,-,6,2002
29,4,+0:38,,6.0,Luttenberger Peter,4,Tacconi Sport,0:38 0:38,+-1:46,,\u25b22,6,2002
23,5,+0:40,,4.0,Fritsch Nicolas,5,La Fran\xe7aise des Jeux,0:40 0:40,+0:02,,\u25bc1,6,2002
33,6,+1:04,,5.0,Tonkov Pavel,6,Lampre - Daikin,1:04 1:04,+0:15,,\u25bc1,6,2002
31,7,+1:52,,7.0,Totschnig Georg,7,Gerolsteiner,1:52 1:52,+0:05,,-,6,2002
25,8,+1:57,,8.0,Valjavec Tadej,8,Fassa Bortolo,1:57 1:57,+0:05,,-,6,2002
28,9,+2:17,,9.0,Di Grande Giuseppe,9,,2:17 2:17,+0:08,,-,6,2002
29,10,+3:54,,,Moos Alexandre,10,Phonak Hearing Systems,3:54 3:54,+1331:21,,-,6,2002
33,1,+0:00,,1.0,Z\xfclle Alex,1,Team Coast,30:44:15 30:44:15,+0:00,,-,7,2002
33,2,+0:11,,2.0,Dufaux Laurent,2,Alessio,0:11 0:11,+0:00,,-,7,2002
29,3,+0:25,,3.0,Wadecki Piotr,3,Domo - Farm Frites,0:25 0:25,+0:00,,-,7,2002
29,4,+0:38,,4.0,Luttenberger Peter,4,Tacconi Sport,0:38 0:38,+0:00,,-,7,2002
23,5,+0:40,,5.0,Fritsch Nicolas,5,La Fran\xe7aise des Jeux,0:40 0:40,+0:00,,-,7,2002
33,6,+1:04,,6.0,Tonkov Pavel,6,Lampre - Daikin,1:04 1:04,+0:00,,-,7,2002
31,7,+1:52,,7.0,Totschnig Georg,7,Gerolsteiner,1:52 1:52,+0:00,,-,7,2002
25,8,+1:57,,8.0,Valjavec Tadej,8,Fassa Bortolo,1:57 1:57,+0:00,,-,7,2002
28,9,+2:17,,9.0,Di Grande Giuseppe,9,,2:17 2:17,+0:00,,-,7,2002
28,10,+3:35,,,Schnider Daniel,10,Phonak Hearing Systems,3:35 3:35,+1592:53,,-,7,2002
33,1,+0:00,,1.0,Z\xfclle Alex,1,Team Coast,36:30:14 36:30:14,+0:00,,-,8,2002
33,2,+0:03,,2.0,Dufaux Laurent,2,Alessio,0:03 0:03,+-1:52,,-,8,2002
29,3,+0:19,,3.0,Wadecki Piotr,3,Domo - Farm Frites,0:19 0:19,+-1:54,,-,8,2002
29,4,+0:32,,4.0,Luttenberger Peter,4,Tacconi Sport,0:32 0:32,+-1:54,,-,8,2002
23,5,+0:40,,5.0,Fritsch Nicolas,5,La Fran\xe7aise des Jeux,0:40 0:40,+0:00,,-,8,2002
33,6,+1:04,,6.0,Tonkov Pavel,6,Lampre - Daikin,1:04 1:04,+0:00,,-,8,2002
31,7,+1:46,,7.0,Totschnig Georg,7,Gerolsteiner,1:46 1:46,+-1:54,,-,8,2002
25,8,+1:57,,8.0,Valjavec Tadej,8,Fassa Bortolo,1:57 1:57,+0:00,,-,8,2002
28,9,+2:17,,9.0,Di Grande Giuseppe,9,,2:17 2:17,+0:00,,-,8,2002
28,10,+3:35,,10.0,Schnider Daniel,10,Phonak Hearing Systems,3:35 3:35,+0:00,,-,8,2002
33,1,+0:00,250.0,1.0,Z\xfclle Alex,1,Team Coast,37:15:09 37:15:09,+0:00,,-,9,2002
29,2,+1:27,190.0,2.0,Wadecki Piotr,2,Domo - Farm Frites,1:27 1:27,+0:00,,-,9,2002
23,3,+1:38,160.0,3.0,Fritsch Nicolas,3,La Fran\xe7aise des Jeux,1:38 1:38,+0:00,,-,9,2002
33,4,+2:07,140.0,4.0,Dufaux Laurent,4,Alessio,2:07 2:07,+0:00,,-,9,2002
31,5,+2:26,120.0,5.0,Totschnig Georg,5,Gerolsteiner,2:26 2:26,+0:00,,-,9,2002
33,6,+2:53,110.0,6.0,Tonkov Pavel,6,Lampre - Daikin,2:53 2:53,+0:00,,-,9,2002
29,7,+3:11,100.0,7.0,Luttenberger Peter,7,Tacconi Sport,3:11 3:11,+0:00,,-,9,2002
28,8,+4:06,90.0,8.0,Di Grande Giuseppe,8,,4:06 4:06,+0:00,,-,9,2002
31,9,+4:17,80.0,9.0,Casagrande Francesco,9,Fassa Bortolo,4:17 4:17,+0:00,,-,9,2002
25,10,+4:19,70.0,10.0,Valjavec Tadej,10,Fassa Bortolo,4:19 4:19,+0:00,,-,9,2002
29,11,+5:03,60.0,,Moos Alexandre,11,Phonak Hearing Systems,5:03 5:03,+2240:12,,-,9,2002
28,12,+5:40,55.0,,Schnider Daniel,12,Phonak Hearing Systems,5:40 5:40,+2240:49,,-,9,2002
28,13,+6:08,50.0,,Gonzalez Santos,13,Acqua & Sapone,6:08 6:08,+2241:17,,-,9,2002
23,14,+7:53,45.0,,Trampusch Gerhard,14,Mapei - Quickstep,7:53 7:53,+2243:02,,-,9,2002
32,15,+8:43,40.0,,Bourquenoud Pierre,15,,8:43 8:43,+2243:52,,-,9,2002
23,16,+9:21,36.0,,Lobato Ruben,16,Acqua & Sapone,9:21 9:21,+2244:30,,-,9,2002
28,17,+9:29,32.0,,Rinero Christophe,17,,9:29 9:29,+2244:38,,-,9,2002
33,18,+10:00,28.0,,Aldag Rolf,18,Team Telekom,10:00 10:00,+2245:09,,-,9,2002
25,19,+10:02,24.0,,Zampieri Steve,19,Tacconi Sport,10:02 10:02,+2245:11,,-,9,2002
26,20,+10:30,20.0,,Bergmann Reto,20,,10:30 10:30,+2245:39,,-,9,2002
26,21,+13:51,18.0,,Charriere Christian,21,Phonak Hearing Systems,13:51 13:51,+2249:00,,-,9,2002
32,22,+14:07,16.0,,Guerini Giuseppe,22,Team Telekom,14:07 14:07,+2249:16,,-,9,2002
26,23,+17:28,14.0,,Martinez Miguel,23,Mapei - Quickstep,17:28 17:28,+2252:37,,-,9,2002
31,24,+20:36,12.0,,Gabriel Fr\xe9d\xe9ric,24,,20:36 20:36,+2255:45,,-,9,2002
25,25,+21:31,10.0,,Fuentes Juan,25,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,21:31 21:31,+2256:40,,-,9,2002
29,26,+21:44,9.0,,Verheyen Geert,26,Rabobank ProTeam,21:44 21:44,+2256:53,,-,9,2002
30,27,+25:56,8.0,,Rebellin Davide,27,Gerolsteiner,25:56 25:56,+2261:05,,-,9,2002
23,28,+26:36,7.0,,Elmiger Martin,28,Phonak Hearing Systems,26:36 26:36,+2261:45,,-,9,2002
30,29,+28:02,6.0,,Julich Bobby,29,Team Telekom,28:02 28:02,+2263:11,,-,9,2002
31,30,+28:34,5.0,,Zberg Beat,30,Rabobank ProTeam,28:34 28:34,+2263:43,,-,9,2002
27,31,+28:46,5.0,,Da Cruz Carlos,31,La Fran\xe7aise des Jeux,28:46 28:46,+2263:55,,-,9,2002
29,32,+31:00,5.0,,Celestino Mirko,32,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,31:00 31:00,+2266:09,,-,9,2002
24,33,+35:07,5.0,,Gaynitdinov Dmitri,33,Tacconi Sport,35:07 35:07,+2270:16,,-,9,2002
24,34,+36:54,5.0,,Veneberg Thorwald,34,Rabobank ProTeam,36:54 36:54,+2272:03,,-,9,2002
32,35,+37:51,5.0,,Agnolutto Christophe,35,AG2R Pr\xe9voyance,37:51 37:51,+2273:00,,-,9,2002
29,36,+38:56,5.0,,Livingston Kevin,36,Team Telekom,38:56 38:56,+2274:05,,-,9,2002
22,37,+40:01,5.0,,Bader Vincent,37,,40:01 40:01,+2275:10,,-,9,2002
27,38,+40:05,5.0,,Commesso Salvatore,38,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,40:05 40:05,+2275:14,,-,9,2002
33,39,+40:12,5.0,,Bortolami Gianluca,39,Tacconi Sport,40:12 40:12,+2275:21,,-,9,2002
36,40,+40:57,5.0,,Faresin Gianni,40,Gerolsteiner,40:57 40:57,+2276:06,,-,9,2002
30,41,+41:00,5.0,,Pozzi Oscar,41,Fassa Bortolo,41:00 41:00,+2276:09,,-,9,2002
23,42,+41:21,5.0,,Kirchen Kim,42,Fassa Bortolo,41:21 41:21,+2276:30,,-,9,2002
26,43,+42:24,5.0,,Garate Juan Manuel,43,Lampre - Daikin,42:24 42:24,+2277:33,,-,9,2002
24,44,+42:35,5.0,,Basso Ivan,44,Fassa Bortolo,42:35 42:35,+2277:44,,-,9,2002
27,45,+43:27,5.0,,Giunti Massimo,45,Acqua & Sapone,43:27 43:27,+2278:36,,-,9,2002
30,46,+43:28,5.0,,Cassani Enrico,46,Domo - Farm Frites,43:28 43:28,+2278:37,,-,9,2002
26,47,+43:41,5.0,,Loder Thierry,47,AG2R Pr\xe9voyance,43:41 43:41,+2278:50,,-,9,2002
27,48,+43:50,5.0,,Zucconi Pietro,48,Tacconi Sport,43:50 43:50,+2278:59,,-,9,2002
35,49,+44:00,5.0,,Donati Massimo,49,Tacconi Sport,44:00 44:00,+2279:09,,-,9,2002
23,50,+44:18,5.0,,Bertogliati Rubens,50,Lampre - Daikin,44:18 44:18,+2279:27,,-,9,2002
27,51,+44:43,5.0,,Ivanov Serguei,51,Fassa Bortolo,44:43 44:43,+2279:52,,-,9,2002
30,52,+44:49,5.0,,Shefer Alexandre,52,Alessio,44:49 44:49,+2279:58,,-,9,2002
30,53,+45:37,5.0,,Boven Jan,53,Rabobank ProTeam,45:37 45:37,+2280:46,,-,9,2002
31,54,+46:28,5.0,,Zabel Erik,54,Team Telekom,46:28 46:28,+2281:37,,-,9,2002
31,55,+46:56,5.0,,Steinhauser Tobias,55,Gerolsteiner,46:56 46:56,+2282:05,,-,9,2002
31,56,+47:11,5.0,,Fagnini Gian-matteo,56,Team Telekom,47:11 47:11,+2282:20,,-,9,2002
28,57,+47:22,5.0,,Zberg Markus,57,Rabobank ProTeam,47:22 47:22,+2282:31,,-,9,2002
26,58,+48:24,5.0,,Kroon Karsten,58,Rabobank ProTeam,48:24 48:24,+2283:33,,-,9,2002
23,59,+50:23,5.0,,Flickinger Andy,59,AG2R Pr\xe9voyance,50:23 50:23,+2285:32,,-,9,2002
25,60,+50:24,5.0,,Pencol\xe9 Franck,60,La Fran\xe7aise des Jeux,50:24 50:24,+2285:33,,-,9,2002
28,61,+52:07,5.0,,Rodriguez Fred,61,Domo - Farm Frites,52:07 52:07,+2287:16,,-,9,2002
27,62,+52:45,5.0,,Giabbecucci Federico,62,Acqua & Sapone,52:45 52:45,+2287:54,,-,9,2002
32,63,+53:17,5.0,,Hamburger Bo,63,,53:17 53:17,+2288:26,,-,9,2002
33,64,+53:19,5.0,,Wauters Marc,64,Rabobank ProTeam,53:19 53:19,+2288:28,,-,9,2002
23,65,+54:56,5.0,,Sabaliauskas Marius,65,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,54:56 54:56,+2290:05,,-,9,2002
24,66,+55:40,5.0,,Wegelius Charles,66,Mapei - Quickstep,55:40 55:40,+2290:49,,-,9,2002
28,67,+55:50,5.0,,Ivanov Ruslan,67,Alessio,55:50 55:50,+2290:59,,-,9,2002
31,68,+58:44,5.0,,Wesemann Steffen,68,Team Telekom,58:44 58:44,+2293:53,,-,9,2002
30,69,+59:58,5.0,,van Bon L\xe9on,69,Domo - Farm Frites,59:58 59:58,+2295:07,,-,9,2002
29,70,+1:01:31,5.0,,Valoti Gianluca,70,,1:01:31 1:01:31,+2296:40,,-,9,2002
26,71,+1:01:41,5.0,,Ludewig Jorg,71,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,1:01:41 1:01:41,+2296:50,,-,9,2002
33,72,+1:04:23,5.0,,Mengin Christophe,72,La Fran\xe7aise des Jeux,1:04:23 1:04:23,+2299:32,,-,9,2002
24,73,+1:04:41,5.0,,Calcagni Patrick,73,Tacconi Sport,1:04:41 1:04:41,+2299:50,,-,9,2002
26,74,+1:05:08,5.0,,Di Luca Danilo,74,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,1:05:08 1:05:08,+2300:17,,-,9,2002
25,75,+1:05:37,5.0,,Hunter Robert,75,Mapei - Quickstep,1:05:37 1:05:37,+2300:46,,-,9,2002
31,76,+1:06:00,5.0,,Huser Rolf,76,Team Coast,1:06:00 1:06:00,+2301:09,,-,9,2002
38,77,+1:08:11,5.0,,Gianetti Mauro,77,Team Coast,1:08:11 1:08:11,+2303:20,,-,9,2002
29,78,+1:08:34,5.0,,Teutenberg Sven,78,Phonak Hearing Systems,1:08:34 1:08:34,+2303:43,,-,9,2002
27,79,+1:11:21,5.0,,Hauptman Andrej,79,Tacconi Sport,1:11:21 1:11:21,+2306:30,,-,9,2002
36,80,+1:13:03,5.0,,Museeuw Johan,80,Domo - Farm Frites,1:13:03 1:13:03,+2308:12,,-,9,2002
29,81,+1:14:57,5.0,,Hendrix Sascha,81,Team Coast,1:14:57 1:14:57,+2310:06,,-,9,2002
26,82,+1:16:06,5.0,,Belohvosciks Raivis,82,Lampre - Daikin,1:16:06 1:16:06,+2311:15,,-,9,2002
25,83,+1:17:13,5.0,,Duijn Marcel,83,Rabobank ProTeam,1:17:13 1:17:13,+2312:22,,-,9,2002
34,84,+1:17:38,5.0,,Verstrepen Johan,84,Lampre - Daikin,1:17:38 1:17:38,+2312:47,,-,9,2002
29,85,+1:23:57,5.0,,Korff Andre,85,Team Coast,1:23:57 1:23:57,+2319:06,,-,9,2002
24,86,+1:26:25,5.0,,Wilson Matthew,86,La Fran\xe7aise des Jeux,1:26:25 1:26:25,+2321:34,,-,9,2002
21,87,+1:29:26,5.0,,Vanthourenhout Sven,87,Domo - Farm Frites,1:29:26 1:29:26,+2324:35,,-,9,2002
28,88,+1:30:02,5.0,,Chantyr Anton,88,Team Coast,1:30:02 1:30:02,+2325:11,,-,9,2002
28,89,+1:30:20,5.0,,Zanotti Marco,89,Fassa Bortolo,1:30:20 1:30:20,+2325:29,,-,9,2002
30,90,+1:31:26,5.0,,Aggiano Elio,90,Mapei - Quickstep,1:31:26 1:31:26,+2326:35,,-,9,2002
28,91,+1:33:14,5.0,,Guerra Alessandro,91,,1:33:14 1:33:14,+2328:23,,-,9,2002
24,92,+1:43:18,5.0,,Casper Jimmy,92,La Fran\xe7aise des Jeux,1:43:18 1:43:18,+2338:27,,-,9,2002
24,93,+1:43:31,5.0,,Pagliarini Luciano Andr\xe9,93,Lampre - Daikin,1:43:31 1:43:31,+2338:40,,-,9,2002
24,94,+1:44:39,5.0,,M\xe4ndoja Innar,94,,1:44:39 1:44:39,+2339:48,,-,9,2002
