Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
24.0,83.0,51.0,+14:12,6.0,Craddock Lawson,9.0,Cannondale-Drapac Pro Cycling Team,9:01 9:01,5,2016,▼3
24.0,156.0,74.0,+23:03,22.0,Grmay Tsgabu,10.0,Lampre - Merida,17:52 17:52,5,2016,▲12
22.0,158.0,84.0,+25:34,15.0,Pibernik Luka,11.0,Lampre - Merida,20:23 20:23,5,2016,▲4
24.0,67.0,88.0,+26:42,12.0,Stuyven Jasper,12.0,Trek - Segafredo,21:31 21:31,5,2016,-
22.0,75.0,91.0,+26:46,13.0,Enger Sondre Holst,13.0,IAM Cycling,21:35 21:35,5,2016,-
25.0,68.0,94.0,+27:03,14.0,Theuns Edward,14.0,Trek - Segafredo,21:52 21:52,5,2016,-
24.0,159.0,111.0,+29:19,10.0,Polanc Jan,15.0,Lampre - Merida,24:08 24:08,5,2016,▼5
23.0,196.0,112.0,+29:22,16.0,Laporte Christophe,16.0,"Cofidis, Solutions Crédits",24:11 24:11,5,2016,-
24.0,171.0,117.0,+29:41,11.0,Coquard Bryan,17.0,Direct Energie,24:30 24:30,5,2016,▼6
24.0,39.0,126.0,+30:26,17.0,Valgren Michael,18.0,Tinkoff,25:15 25:15,5,2016,▼1
24.0,173.0,136.0,+32:15,19.0,Duchesne Antoine,19.0,Direct Energie,27:04 27:04,5,2016,-
25.0,203.0,140.0,+32:51,20.0,Durbridge Luke,20.0,ORICA-BikeExchange,27:40 27:40,5,2016,-
23.0,188.0,152.0,+34:35,23.0,Vakoč Petr,21.0,Etixx - Quick Step,29:24 29:24,5,2016,▲2
24.0,216.0,160.0,+35:35,18.0,McLay Daniel,22.0,Fortuneo - Vital Concept,30:24 30:24,5,2016,▼4
23.0,56.0,167.0,+36:48,24.0,Roosen Timo,23.0,Team LottoNL-Jumbo,31:37 31:37,5,2016,▲1
23.0,53.0,169.0,+36:59,21.0,Groenewegen Dylan,24.0,Team LottoNL-Jumbo,31:48 31:48,5,2016,▼3
23.0,26.0,177.0,+38:38,26.0,Lutsenko Alexey,25.0,Astana Pro Team,33:27 33:27,5,2016,▲1
24.0,89.0,185.0,+40:15,27.0,van Baarle Dylan,26.0,Cannondale-Drapac Pro Cycling Team,35:04 35:04,5,2016,▲1
25.0,143.0,189.0,+42:37,25.0,Haller Marco,27.0,Team Katusha,37:26 37:26,5,2016,▼2
23.0,47.0,190.0,+42:38,28.0,Gougeard Alexis,28.0,AG2R La Mondiale,37:27 37:27,5,2016,-
25.0,102.0,195.0,+45:58,29.0,Berhane Natnael,29.0,Team Dimension Data,40:47 40:47,5,2016,-
24.0,182.0,2.0,+5:11,1.0,Alaphilippe Julian,1.0,Etixx - Quick Step,30:23:49 30:23:49,6,2016,-
24.0,111.0,6.0,+5:17,2.0,Barguil Warren,2.0,Team Giant - Alpecin,0:06 0:06,6,2016,-
25.0,51.0,12.0,+5:17,3.0,Kelderman Wilco,3.0,Team LottoNL-Jumbo,",, 0:06",6,2016,-
23.0,209.0,13.0,+5:17,4.0,Yates Adam,4.0,ORICA-BikeExchange,",, 0:06",6,2016,-
24.0,157.0,19.0,+5:28,5.0,Meintjes Louis,5.0,Lampre - Merida,0:17 0:17,6,2016,-
25.0,211.0,30.0,+8:45,6.0,Sepúlveda Eduardo,6.0,Fortuneo - Vital Concept,3:34 3:34,6,2016,-
23.0,131.0,31.0,+8:45,7.0,Buchmann Emanuel,7.0,Bora - Argon 18,",, 3:34",6,2016,-
24.0,137.0,39.0,+10:46,8.0,Konrad Patrick,8.0,Bora - Argon 18,5:35 5:35,6,2016,-
24.0,83.0,50.0,+14:13,9.0,Craddock Lawson,9.0,Cannondale-Drapac Pro Cycling Team,9:02 9:02,6,2016,-
24.0,156.0,73.0,+23:04,10.0,Grmay Tsgabu,10.0,Lampre - Merida,17:53 17:53,6,2016,-
22.0,158.0,82.0,+25:35,11.0,Pibernik Luka,11.0,Lampre - Merida,20:24 20:24,6,2016,-
24.0,67.0,86.0,+26:43,12.0,Stuyven Jasper,12.0,Trek - Segafredo,21:32 21:32,6,2016,-
22.0,75.0,89.0,+26:46,13.0,Enger Sondre Holst,13.0,IAM Cycling,21:35 21:35,6,2016,-
25.0,68.0,92.0,+26:59,14.0,Theuns Edward,14.0,Trek - Segafredo,21:48 21:48,6,2016,-
23.0,196.0,108.0,+29:18,16.0,Laporte Christophe,15.0,"Cofidis, Solutions Crédits",24:07 24:07,6,2016,▲1
24.0,159.0,109.0,+29:20,15.0,Polanc Jan,16.0,Lampre - Merida,24:09 24:09,6,2016,▼1
24.0,171.0,114.0,+29:37,17.0,Coquard Bryan,17.0,Direct Energie,24:26 24:26,6,2016,-
24.0,39.0,124.0,+30:27,18.0,Valgren Michael,18.0,Tinkoff,25:16 25:16,6,2016,-
25.0,203.0,143.0,+33:44,20.0,Durbridge Luke,19.0,ORICA-BikeExchange,28:33 28:33,6,2016,▲1
24.0,173.0,154.0,+35:23,19.0,Duchesne Antoine,20.0,Direct Energie,30:12 30:12,6,2016,▼1
24.0,216.0,155.0,+35:27,22.0,McLay Daniel,21.0,Fortuneo - Vital Concept,30:16 30:16,6,2016,▲1
23.0,188.0,156.0,+35:28,21.0,Vakoč Petr,22.0,Etixx - Quick Step,30:17 30:17,6,2016,▼1
23.0,56.0,165.0,+36:49,23.0,Roosen Timo,23.0,Team LottoNL-Jumbo,31:38 31:38,6,2016,-
23.0,53.0,166.0,+36:55,24.0,Groenewegen Dylan,24.0,Team LottoNL-Jumbo,31:44 31:44,6,2016,-
23.0,26.0,182.0,+40:55,25.0,Lutsenko Alexey,25.0,Astana Pro Team,35:44 35:44,6,2016,-
24.0,89.0,183.0,+41:08,26.0,van Baarle Dylan,26.0,Cannondale-Drapac Pro Cycling Team,35:57 35:57,6,2016,-
23.0,47.0,188.0,+42:39,28.0,Gougeard Alexis,27.0,AG2R La Mondiale,37:28 37:28,6,2016,▲1
25.0,143.0,190.0,+43:17,27.0,Haller Marco,28.0,Team Katusha,38:06 38:06,6,2016,▼1
25.0,102.0,195.0,+45:59,29.0,Berhane Natnael,29.0,Team Dimension Data,40:48 40:48,6,2016,-
23.0,209.0,2.0,+5:50,4.0,Yates Adam,1.0,ORICA-BikeExchange,34:15:34 34:15:34,7,2016,▲3
24.0,182.0,3.0,+5:51,1.0,Alaphilippe Julian,2.0,Etixx - Quick Step,0:01 0:01,7,2016,▼1
24.0,111.0,8.0,+5:57,2.0,Barguil Warren,3.0,Team Giant - Alpecin,0:07 0:07,7,2016,▼1
25.0,51.0,13.0,+5:57,3.0,Kelderman Wilco,4.0,Team LottoNL-Jumbo,",, 0:07",7,2016,▼1
24.0,157.0,19.0,+6:08,5.0,Meintjes Louis,5.0,Lampre - Merida,0:18 0:18,7,2016,-
23.0,131.0,28.0,+9:42,7.0,Buchmann Emanuel,6.0,Bora - Argon 18,3:52 3:52,7,2016,▲1
25.0,211.0,29.0,+9:49,6.0,Sepúlveda Eduardo,7.0,Fortuneo - Vital Concept,3:59 3:59,7,2016,▼1
24.0,137.0,38.0,+12:51,8.0,Konrad Patrick,8.0,Bora - Argon 18,7:01 7:01,7,2016,-
24.0,83.0,49.0,+17:56,9.0,Craddock Lawson,9.0,Cannondale-Drapac Pro Cycling Team,12:06 12:06,7,2016,-
24.0,156.0,80.0,+31:21,10.0,Grmay Tsgabu,10.0,Lampre - Merida,25:31 25:31,7,2016,-
24.0,159.0,83.0,+33:03,16.0,Polanc Jan,11.0,Lampre - Merida,27:13 27:13,7,2016,▲5
22.0,158.0,89.0,+35:26,11.0,Pibernik Luka,12.0,Lampre - Merida,29:36 29:36,7,2016,▼1
24.0,67.0,92.0,+36:34,12.0,Stuyven Jasper,13.0,Trek - Segafredo,30:44 30:44,7,2016,▼1
24.0,173.0,97.0,+39:07,20.0,Duchesne Antoine,14.0,Direct Energie,33:17 33:17,7,2016,▲6
24.0,171.0,102.0,+40:01,17.0,Coquard Bryan,15.0,Direct Energie,34:11 34:11,7,2016,▲2
24.0,39.0,109.0,+40:50,18.0,Valgren Michael,16.0,Tinkoff,35:00 35:00,7,2016,▲2
22.0,75.0,112.0,+41:14,13.0,Enger Sondre Holst,17.0,IAM Cycling,35:24 35:24,7,2016,▼4
25.0,68.0,116.0,+41:27,14.0,Theuns Edward,18.0,Trek - Segafredo,35:37 35:37,7,2016,▼4
25.0,203.0,146.0,+48:12,19.0,Durbridge Luke,19.0,ORICA-BikeExchange,42:22 42:22,7,2016,-
23.0,196.0,152.0,+49:39,15.0,Laporte Christophe,20.0,"Cofidis, Solutions Crédits",43:49 43:49,7,2016,▼5
23.0,56.0,164.0,+51:16,23.0,Roosen Timo,21.0,Team LottoNL-Jumbo,45:26 45:26,7,2016,▲2
23.0,26.0,166.0,+51:19,25.0,Lutsenko Alexey,22.0,Astana Pro Team,45:29 45:29,7,2016,▲3
23.0,53.0,167.0,+51:23,24.0,Groenewegen Dylan,23.0,Team LottoNL-Jumbo,45:33 45:33,7,2016,▲1
24.0,89.0,169.0,+51:32,26.0,van Baarle Dylan,24.0,Cannondale-Drapac Pro Cycling Team,45:42 45:42,7,2016,▲2
23.0,188.0,171.0,+51:59,22.0,Vakoč Petr,25.0,Etixx - Quick Step,46:09 46:09,7,2016,▼3
24.0,216.0,174.0,+52:39,21.0,McLay Daniel,26.0,Fortuneo - Vital Concept,46:49 46:49,7,2016,▼5
25.0,102.0,186.0,+56:22,29.0,Berhane Natnael,27.0,Team Dimension Data,50:32 50:32,7,2016,▲2
23.0,47.0,187.0,+57:06,27.0,Gougeard Alexis,28.0,AG2R La Mondiale,51:16 51:16,7,2016,▼1
25.0,143.0,194.0,+1:00:29,28.0,Haller Marco,29.0,Team Katusha,54:39 54:39,7,2016,▼1
23.0,209.0,2.0,+0:16,1.0,Yates Adam,1.0,ORICA-BikeExchange,39:13:20 39:13:20,8,2016,-
24.0,157.0,13.0,+0:34,5.0,Meintjes Louis,2.0,Lampre - Merida,0:18 0:18,8,2016,▲3
24.0,111.0,14.0,+1:51,3.0,Barguil Warren,3.0,Team Giant - Alpecin,1:35 1:35,8,2016,-
25.0,51.0,16.0,+1:55,4.0,Kelderman Wilco,4.0,Team LottoNL-Jumbo,1:39 1:39,8,2016,-
23.0,131.0,23.0,+5:36,6.0,Buchmann Emanuel,5.0,Bora - Argon 18,5:20 5:20,8,2016,▲1
25.0,211.0,28.0,+9:33,7.0,Sepúlveda Eduardo,6.0,Fortuneo - Vital Concept,9:17 9:17,8,2016,▲1
24.0,182.0,39.0,+25:58,2.0,Alaphilippe Julian,7.0,Etixx - Quick Step,25:42 25:42,8,2016,▼5
24.0,137.0,52.0,+32:58,8.0,Konrad Patrick,8.0,Bora - Argon 18,32:42 32:42,8,2016,-
24.0,83.0,68.0,+46:52,9.0,Craddock Lawson,9.0,Cannondale-Drapac Pro Cycling Team,46:36 46:36,8,2016,-
24.0,159.0,81.0,+53:10,11.0,Polanc Jan,10.0,Lampre - Merida,52:54 52:54,8,2016,▲1
24.0,39.0,90.0,+1:00:57,16.0,Valgren Michael,11.0,Tinkoff,1:00:41 1:00:41,8,2016,▲5
22.0,158.0,97.0,+1:04:22,12.0,Pibernik Luka,12.0,Lampre - Merida,1:04:06 1:04:06,8,2016,-
24.0,156.0,101.0,+1:04:58,10.0,Grmay Tsgabu,13.0,Lampre - Merida,1:04:42 1:04:42,8,2016,▼3
23.0,26.0,106.0,+1:08:05,22.0,Lutsenko Alexey,14.0,Astana Pro Team,1:07:49 1:07:49,8,2016,▲8
25.0,203.0,108.0,+1:08:19,19.0,Durbridge Luke,15.0,ORICA-BikeExchange,1:08:03 1:08:03,8,2016,▲4
24.0,171.0,111.0,+1:08:57,15.0,Coquard Bryan,16.0,Direct Energie,1:08:41 1:08:41,8,2016,▼1
24.0,67.0,116.0,+1:10:11,13.0,Stuyven Jasper,17.0,Trek - Segafredo,1:09:55 1:09:55,8,2016,▼4
24.0,89.0,120.0,+1:10:59,24.0,van Baarle Dylan,18.0,Cannondale-Drapac Pro Cycling Team,1:10:43 1:10:43,8,2016,▲6
24.0,173.0,128.0,+1:12:44,14.0,Duchesne Antoine,19.0,Direct Energie,1:12:28 1:12:28,8,2016,▼5
22.0,75.0,136.0,+1:14:51,17.0,Enger Sondre Holst,20.0,IAM Cycling,1:14:35 1:14:35,8,2016,▼3
25.0,68.0,137.0,+1:15:04,18.0,Theuns Edward,21.0,Trek - Segafredo,1:14:48 1:14:48,8,2016,▼3
23.0,196.0,147.0,+1:18:35,20.0,Laporte Christophe,22.0,"Cofidis, Solutions Crédits",1:18:19 1:18:19,8,2016,▼2
23.0,56.0,151.0,+1:20:12,21.0,Roosen Timo,23.0,Team LottoNL-Jumbo,1:19:56 1:19:56,8,2016,▼2
23.0,188.0,156.0,+1:20:55,25.0,Vakoč Petr,24.0,Etixx - Quick Step,1:20:39 1:20:39,8,2016,▲1
23.0,53.0,176.0,+1:25:00,23.0,Groenewegen Dylan,25.0,Team LottoNL-Jumbo,1:24:44 1:24:44,8,2016,▼2
25.0,102.0,178.0,+1:25:18,27.0,Berhane Natnael,26.0,Team Dimension Data,1:25:02 1:25:02,8,2016,▲1
24.0,216.0,183.0,+1:26:16,26.0,McLay Daniel,27.0,Fortuneo - Vital Concept,1:26:00 1:26:00,8,2016,▼1
25.0,143.0,189.0,+1:29:25,29.0,Haller Marco,28.0,Team Katusha,1:29:09 1:29:09,8,2016,▲1
23.0,47.0,191.0,+1:30:43,28.0,Gougeard Alexis,29.0,AG2R La Mondiale,1:30:27 1:30:27,8,2016,▼1
23.0,209.0,2.0,+0:16,1.0,Yates Adam,1.0,ORICA-BikeExchange,44:36:19 44:36:19,9,2016,-
24.0,157.0,9.0,+0:55,2.0,Meintjes Louis,2.0,Lampre - Merida,0:39 0:39,9,2016,-
24.0,111.0,15.0,+2:51,3.0,Barguil Warren,3.0,Team Giant - Alpecin,2:35 2:35,9,2016,-
25.0,51.0,19.0,+5:28,4.0,Kelderman Wilco,4.0,Team LottoNL-Jumbo,5:12 5:12,9,2016,-
23.0,131.0,22.0,+8:48,5.0,Buchmann Emanuel,5.0,Bora - Argon 18,8:32 8:32,9,2016,-
25.0,211.0,28.0,+16:57,6.0,Sepúlveda Eduardo,6.0,Fortuneo - Vital Concept,16:41 16:41,9,2016,-
24.0,182.0,45.0,+40:37,7.0,Alaphilippe Julian,7.0,Etixx - Quick Step,40:21 40:21,9,2016,-
24.0,137.0,62.0,+57:33,8.0,Konrad Patrick,8.0,Bora - Argon 18,57:17 57:17,9,2016,-
24.0,83.0,69.0,+1:02:36,9.0,Craddock Lawson,9.0,Cannondale-Drapac Pro Cycling Team,1:02:20 1:02:20,9,2016,-
24.0,159.0,75.0,+1:07:49,10.0,Polanc Jan,10.0,Lampre - Merida,1:07:33 1:07:33,9,2016,-
24.0,156.0,89.0,+1:17:26,13.0,Grmay Tsgabu,11.0,Lampre - Merida,1:17:10 1:17:10,9,2016,▲2
24.0,39.0,95.0,+1:22:38,11.0,Valgren Michael,12.0,Tinkoff,1:22:22 1:22:22,9,2016,▼1
23.0,26.0,96.0,+1:23:49,14.0,Lutsenko Alexey,13.0,Astana Pro Team,1:23:33 1:23:33,9,2016,▲1
22.0,158.0,101.0,+1:26:03,12.0,Pibernik Luka,14.0,Lampre - Merida,1:25:47 1:25:47,9,2016,▼2
25.0,102.0,103.0,+1:27:10,26.0,Berhane Natnael,15.0,Team Dimension Data,1:26:54 1:26:54,9,2016,▲11
24.0,171.0,107.0,+1:32:05,16.0,Coquard Bryan,16.0,Direct Energie,1:31:49 1:31:49,9,2016,-
25.0,203.0,111.0,+1:33:47,15.0,Durbridge Luke,17.0,ORICA-BikeExchange,1:33:31 1:33:31,9,2016,▼2
24.0,89.0,112.0,+1:35:34,18.0,van Baarle Dylan,18.0,Cannondale-Drapac Pro Cycling Team,1:35:18 1:35:18,9,2016,-
24.0,173.0,116.0,+1:37:19,19.0,Duchesne Antoine,19.0,Direct Energie,1:37:03 1:37:03,9,2016,-
