Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
29,,85,144.0,+7:05,,Koren Kristijan,144,Cannondale-Drapac Pro Cycling Team,",, 6:51",,,2,2016
31,,187,142.0,+7:05,,Sabatini Fabio,145,Etixx - Quick Step,",, 6:51",,,2,2016
42,,38,146.0,+7:05,,Tosatto Matteo,146,Tinkoff,",, 6:51",,,2,2016
28,,181,134.0,+6:59,,Kittel Marcel,147,Etixx - Quick Step,",, 6:51",,,2,2016
25,,143,161.0,+7:05,,Haller Marco,148,Team Katusha,",, 6:51",,,2,2016
33,,183,160.0,+7:05,,Keisse Iljo,149,Etixx - Quick Step,",, 6:51",,,2,2016
33,,108,139.0,+7:05,,Renshaw Mark,150,Team Dimension Data,",, 6:51",,,2,2016
35,,166,156.0,+7:05,,Hansen Adam,151,Lotto Soudal,",, 6:51",,,2,2016
31,,219,143.0,+7:05,,Vachon Florian,152,Fortuneo - Vital Concept,",, 6:51",,,2,2016
31,,218,151.0,+7:05,,S\xf8rensen Chris Anker,153,Fortuneo - Vital Concept,",, 6:51",,,2,2016
34,,59,157.0,+7:05,,Wynants Maarten,154,Team LottoNL-Jumbo,",, 6:51",,,2,2016
24,,216,138.0,+7:05,,McLay Daniel,155,Fortuneo - Vital Concept,",, 6:51",,,2,2016
23,,56,194.0,+11:38,,Roosen Timo,156,Team LottoNL-Jumbo,",, 6:51",,,2,2016
35,,192,147.0,+7:05,,Bozic Borut,157,"Cofidis, Solutions Cr\xe9dits",",, 6:51",,,2,2016
28,,155,155.0,+7:05,,Durasek Kristijan,158,Lampre - Merida,",, 6:51",,,2,2016
31,,133,159.0,+7:05,,B\xe1rta Jan,159,Bora - Argon 18,",, 6:51",,,2,2016
24,,173,145.0,+7:05,,Duchesne Antoine,160,Direct Energie,",, 6:51",,,2,2016
35,,136,154.0,+7:05,,Huzarski Bartosz,161,Bora - Argon 18,",, 6:51",,,2,2016
31,,34,141.0,+7:05,,Gatto Oscar,162,Tinkoff,",, 6:51",,,2,2016
26,,52,158.0,+7:05,,Bennett George,163,Team LottoNL-Jumbo,",, 6:51",,,2,2016
37,,179,162.0,+8:27,,Voeckler Thomas,164,Direct Energie,",, 6:51",,,2,2016
31,,33,150.0,+7:05,,Bodnar Maciej,165,Tinkoff,",, 6:51",,,2,2016
31,,152,153.0,+7:05,,Arashiro Yukiya,166,Lampre - Merida,",, 6:51",,,2,2016
26,,37,188.0,+9:53,,Majka Rafa\u0142,167,Tinkoff,",, 6:51",,,2,2016
26,,206,185.0,+8:38,,Juul-Jensen Christopher,168,ORICA-BikeExchange,",, 6:51",,,2,2016
35,,174,148.0,+7:05,,Gene Yohann,169,Direct Energie,",, 6:51",,,2,2016
37,,74,168.0,+8:29,,Elmiger Martin,170,IAM Cycling,8:15 8:15,,,2,2016
26,,77,192.0,+11:17,,Howard Leigh,171,IAM Cycling,",, 8:15",,,2,2016
25,,176,174.0,+8:29,,Petit Adrien,172,Direct Energie,",, 8:15",,,2,2016
39,,167,164.0,+8:29,,Henderson Gregory,173,Lotto Soudal,",, 8:15",,,2,2016
26,,154,167.0,+8:29,,Cimolai Davide,174,Lampre - Merida,",, 8:15",,,2,2016
26,,95,193.0,+11:17,,Dennis Rohan,175,BMC Racing Team,",, 8:15",,,2,2016
34,,169,169.0,+8:29,,Sieberg Marcel,176,Lotto Soudal,",, 8:15",,,2,2016
23,,47,171.0,+8:29,,Gougeard Alexis,177,AG2R La Mondiale,",, 8:15",,,2,2016
33,,161,163.0,+8:29,,Greipel Andr\xe9,178,Lotto Soudal,",, 8:15",,,2,2016
24,,89,190.0,+10:02,,van Baarle Dylan,179,Cannondale-Drapac Pro Cycling Team,",, 8:15",,,2,2016
32,,138,180.0,+8:29,,Schillinger Andreas,180,Bora - Argon 18,",, 8:15",,,2,2016
28,,142,173.0,+8:29,,Guarnieri Jacopo,181,Team Katusha,",, 8:15",,,2,2016
36,,208,191.0,+10:02,,Plaza Rub\xe9n,182,ORICA-BikeExchange,",, 8:15",,,2,2016
23,,53,165.0,+8:29,,Groenewegen Dylan,183,Team LottoNL-Jumbo,",, 8:15",,,2,2016
32,,14,166.0,+8:29,,Erviti Imanol,184,Movistar Team,",, 8:15",,,2,2016
28,,84,175.0,+8:29,,Howes Alex,185,Cannondale-Drapac Pro Cycling Team,",, 8:15",,,2,2016
27,,27,170.0,+8:29,,Rosa Diego,186,Astana Pro Team,",, 8:15",,,2,2016
23,,26,178.0,+8:29,,Lutsenko Alexey,187,Astana Pro Team,",, 8:15",,,2,2016
25,,102,176.0,+8:29,,Berhane Natnael,188,Team Dimension Data,",, 8:15",,,2,2016
36,,162,195.0,+13:02,,Bak Lars Ytting,189,Lotto Soudal,",, 8:15",,,2,2016
27,,109,179.0,+8:29,,Teklehaimanot Daniel,190,Team Dimension Data,",, 8:15",,,2,2016
35,,104,177.0,+8:29,,Cummings Stephen,191,Team Dimension Data,",, 8:15",,,2,2016
29,,8,172.0,+8:29,,Stannard Ian,192,Team Sky,",, 8:15",,,2,2016
26,,7,182.0,+8:29,,Rowe Luke,193,Team Sky,",, 8:15",,,2,2016
35,,105,181.0,+8:29,,Eisel Bernhard,194,Team Dimension Data,",, 8:15",,,2,2016
28,,134,189.0,+10:01,,Benedetti Cesare,195,Bora - Argon 18,9:47 9:47,,,2,2016
27,,132,196.0,+13:53,,Archbold Shane,196,Bora - Argon 18,13:39 13:39,,,2,2016
31,,146,197.0,+13:53,,M\xf8rk\xf8v Michael,197,Team Katusha,",, 13:39",,,2,2016
25,,135,198.0,+16:37,,Bennett Sam,198,Bora - Argon 18,16:23 16:23,,,2,2016
31,,101,70.0,+1:39,100.0,Cavendish Mark,1,Team Dimension Data,5:59:54 5:59:54,20.0,120.0,3,2016
33,,161,156.0,+8:23,70.0,Greipel Andr\xe9,2,Lotto Soudal,",, ,,",10.0,50.0,3,2016
24,,171,62.0,+1:17,50.0,Coquard Bryan,3,Direct Energie,",, ,,",6.0,25.0,3,2016
26,,32,1.0,+0:00,40.0,Sagan Peter,4,Tinkoff,",, ,,",4.0,15.0,3,2016
25,,68,73.0,+1:53,32.0,Theuns Edward,5,Trek - Segafredo,",, ,,",2.0,5.0,3,2016
22,,75,68.0,+1:36,26.0,Enger Sondre Holst,6,IAM Cycling,",, ,,",,,3,2016
28,,181,129.0,+6:59,22.0,Kittel Marcel,7,Etixx - Quick Step,",, ,,",,,3,2016
23,,196,89.0,+3:06,18.0,Laporte Christophe,8,"Cofidis, Solutions Cr\xe9dits",",, ,,",,,3,2016
24,,216,131.0,+7:05,14.0,McLay Daniel,9,Fortuneo - Vital Concept,",, ,,",,,3,2016
23,,53,158.0,+8:29,10.0,Groenewegen Dylan,10,Team LottoNL-Jumbo,",, ,,",,,3,2016
28,,144,112.0,+5:00,8.0,Kristoff Alexander,11,Team Katusha,",, ,,",,,3,2016
25,,207,12.0,+0:14,6.0,Matthews Michael,12,ORICA-BikeExchange,",, ,,",,,3,2016
27,,113,130.0,+7:05,4.0,Degenkolb John,13,Team Giant - Alpecin,",, ,,",,,3,2016
26,,154,159.0,+8:29,2.0,Cimolai Davide,14,Lampre - Merida,",, ,,",,,3,2016
24,,182,2.0,+0:08,1.0,Alaphilippe Julian,15,Etixx - Quick Step,",, ,,",,,3,2016
28,,165,8.0,+0:14,,Gallopin Tony,16,Lotto Soudal,",, ,,",,,3,2016
24,,83,35.0,+0:31,,Craddock Lawson,17,Cannondale-Drapac Pro Cycling Team,",, ,,",,,3,2016
28,,199,105.0,+4:30,,Soupe Geoffrey,18,"Cofidis, Solutions Cr\xe9dits",",, ,,",,,3,2016
31,,22,28.0,+0:25,,Nibali Vincenzo,19,Astana Pro Team,",, ,,",,,3,2016
39,,167,157.0,+8:29,,Henderson Gregory,20,Lotto Soudal,",, ,,",,,3,2016
26,,164,113.0,+5:00,,Debusschere Jens,21,Lotto Soudal,",, ,,",,,3,2016
31,,1,4.0,+0:14,,Froome Christopher,22,Team Sky,",, ,,",,,3,2016
26,,11,6.0,+0:14,,Quintana Nairo,23,Movistar Team,",, ,,",,,3,2016
32,,28,33.0,+0:29,,Sanchez Luis Leon,24,Astana Pro Team,",, ,,",,,3,2016
28,,142,161.0,+8:29,,Guarnieri Jacopo,25,Team Katusha,",, ,,",,,3,2016
29,,61,21.0,+0:14,,Mollema Bauke,26,Trek - Segafredo,",, ,,",,,3,2016
31,,168,93.0,+3:06,,Roelandts Jurgen,27,Lotto Soudal,",, ,,",,,3,2016
33,,108,132.0,+7:05,,Renshaw Mark,28,Team Dimension Data,",, ,,",,,3,2016
26,,21,9.0,+0:14,,Aru Fabio,29,Astana Pro Team,",, ,,",,,3,2016
31,,34,133.0,+7:05,,Gatto Oscar,30,Tinkoff,",, ,,",,,3,2016
24,,111,5.0,+0:14,,Barguil Warren,31,Team Giant - Alpecin,",, ,,",,,3,2016
29,,184,10.0,+0:14,,Martin Daniel,32,Etixx - Quick Step,",, ,,",,,3,2016
30,,36,7.0,+0:14,,Kreuziger Roman,33,Tinkoff,",, ,,",,,3,2016
23,,209,18.0,+0:14,,Yates Adam,34,ORICA-BikeExchange,",, ,,",,,3,2016
29,,81,11.0,+0:14,,Rolland Pierre,35,Cannondale-Drapac Pro Cycling Team,",, ,,",,,3,2016
36,,12,3.0,+0:10,,Valverde Alejandro,36,Movistar Team,",, ,,",,,3,2016
24,,137,40.0,+0:31,,Konrad Patrick,37,Bora - Argon 18,",, ,,",,,3,2016
24,,39,91.0,+3:06,,Valgren Michael,38,Tinkoff,",, ,,",,,3,2016
29,,151,19.0,+0:14,,Costa Rui,39,Lampre - Merida,",, ,,",,,3,2016
27,,19,90.0,+3:06,,Oliveira Nelson,40,Movistar Team,",, ,,",,,3,2016
30,,9,45.0,+0:38,,Thomas Geraint,41,Team Sky,",, ,,",,,3,2016
27,,129,24.0,+0:14,,Vichot Arthur,42,FDJ,",, ,,",,,3,2016
27,,99,16.0,+0:14,,van Garderen Tejay,43,BMC Racing Team,",, ,,",,,3,2016
25,,114,13.0,+0:14,,Dumoulin Tom,44,Team Giant - Alpecin,",, ,,",,,3,2016
25,,51,14.0,+0:14,,Kelderman Wilco,45,Team LottoNL-Jumbo,",, ,,",,,3,2016
23,,131,39.0,+0:31,,Buchmann Emanuel,46,Bora - Argon 18,",, ,,",,,3,2016
30,,76,78.0,+1:59,,Hollenstein Reto,47,IAM Cycling,",, ,,",,,3,2016
36,,63,92.0,+3:06,,Irizar Markel,48,Trek - Segafredo,",, ,,",,,3,2016
25,,211,37.0,+0:31,,Sep\xfalveda Eduardo,49,Fortuneo - Vital Concept,",, ,,",,,3,2016
31,,187,134.0,+7:05,,Sabatini Fabio,50,Etixx - Quick Step,",, ,,",,,3,2016
28,,2,23.0,+0:14,,Henao Sergio Luis,51,Team Sky,",, ,,",,,3,2016
29,,71,27.0,+0:24,,Frank Mathias,52,IAM Cycling,",, ,,",,,3,2016
33,,147,17.0,+0:14,,Van den Broeck Jurgen,53,Team Katusha,",, ,,",,,3,2016
34,,122,96.0,+3:06,,Bonnet William,54,FDJ,",, ,,",,,3,2016
24,,157,32.0,+0:25,,Meintjes Louis,55,Lampre - Merida,",, ,,",,,3,2016
26,,4,25.0,+0:14,,Landa Mikel,56,Team Sky,",, ,,",,,3,2016
22,,158,75.0,+1:53,,Pibernik Luka,57,Lampre - Merida,",, ,,",,,3,2016
25,,78,74.0,+1:53,,Naesen Oliver,58,IAM Cycling,",, ,,",,,3,2016
27,,126,30.0,+0:25,,Reichenbach Sebastien,59,FDJ,",, ,,",,,3,2016
31,,91,77.0,+1:59,,Porte Richie,60,BMC Racing Team,",, ,,",,,3,2016
27,,79,29.0,+0:25,,Pantano Jarlinson,61,IAM Cycling,",, ,,",,,3,2016
28,,94,82.0,+2:24,,Caruso Damiano,62,BMC Racing Team,",, ,,",,,3,2016
27,,132,195.0,+13:53,,Archbold Shane,63,Bora - Argon 18,",, ,,",,,3,2016
26,,121,31.0,+0:25,,Pinot Thibaut,64,FDJ,",, ,,",,,3,2016
42,,38,136.0,+7:05,,Tosatto Matteo,65,Tinkoff,",, ,,",,,3,2016
28,,177,38.0,+0:31,,Sicard Romain,66,Direct Energie,",, ,,",,,3,2016
31,,152,139.0,+7:05,,Arashiro Yukiya,67,Lampre - Merida,",, ,,",,,3,2016
30,,195,47.0,+0:40,,Jeannesson Arnold,68,"Cofidis, Solutions Cr\xe9dits",",, ,,",,,3,2016
32,,107,36.0,+0:31,,Pauwels Serge,69,Team Dimension Data,",, ,,",,,3,2016
25,,41,22.0,+0:14,,Bardet Romain,70,AG2R La Mondiale,",, ,,",,,3,2016
30,,214,53.0,+0:55,,Feillu Brice,71,Fortuneo - Vital Concept,",, ,,",,,3,2016
