Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,80.0,+0:10,,,Kohler Martin,79,BMC Racing Team,",, ,,",,,,1,2012
26,81.0,+0:10,,,van Emden Jos,80,Rabobank Cycling Team,",, ,,",,,,1,2012
28,82.0,+0:10,,,Crawford Jai,81,Genesys Wealth Advisers,",, ,,",,,,1,2012
28,83.0,+0:10,,,Ascani Luca,82,Farnese Vini-Neri-Sottoli,",, ,,",,,,1,2012
22,84.0,+0:10,,,Guardini Andrea,83,Farnese Vini-Neri-Sottoli,",, ,,",,,,1,2012
30,85.0,+0:10,,,Pozzato Filippo,84,Farnese Vini-Neri-Sottoli,",, ,,",,,,1,2012
35,86.0,+0:10,,,Henderson Gregory,85,Lotto Belisol Team,",, ,,",,,,1,2012
26,87.0,+0:10,,,Lebas Thomas,86,Team Bridgestone Anchor,",, ,,",,,,1,2012
32,88.0,+0:10,,,Irizar Markel,87,RadioShack - Nissan,",, ,,",,,,1,2012
23,89.0,+0:10,,,Lemair Alexandre,88,Team Bridgestone Anchor,",, ,,",,,,1,2012
27,90.0,+0:10,,,Ladagnous Matthieu,89,FDJ - BigMat,",, ,,",,,,1,2012
34,91.0,+0:10,,,Tjallingii Maarten,90,Rabobank Cycling Team,",, ,,",,,,1,2012
34,92.0,+0:10,,,Hunter Robert,91,Team Garmin - Barracuda,",, ,,",,,,1,2012
26,93.0,+0:10,,,Sonnery Blaise,92,Team Bridgestone Anchor,",, ,,",,,,1,2012
28,94.0,+0:10,,,Rabon Frantisek,93,Omega Pharma - Quick-Step,",, ,,",,,,1,2012
28,95.0,+0:10,,,Coutts Alex,94,RTS Racing Team,",, ,,",,,,1,2012
23,96.0,+0:10,,,Lodewyck Klaas,95,BMC Racing Team,",, ,,",,,,1,2012
30,5.0,+0:07,,,Hansen Adam,96,Lotto Belisol Team,",, ,,",,,,1,2012
39,97.0,+0:10,,,Rodgers Lee,97,CCN Cycling Team,",, ,,",,,,1,2012
31,98.0,+0:10,,,Vanotti Alessandro,98,Liquigas - Cannondale,",, ,,",,,,1,2012
26,99.0,+0:10,,,Brammeier Matthew,99,Omega Pharma - Quick-Step,",, ,,",,,,1,2012
27,100.0,+0:10,,,Langeveld Sebastian,100,Orica GreenEDGE,",, ,,",,,,1,2012
30,101.0,+0:10,,,Posthuma Joost,101,RadioShack - Nissan,",, ,,",,,,1,2012
30,102.0,+0:10,,,Inoue Kazuo,102,Team Bridgestone Anchor,",, ,,",,,,1,2012
25,103.0,+0:10,,,Jiao Pengda,103,Champion System Pro Cycling Team,",, ,,",,,,1,2012
26,104.0,+0:10,,,Leezer Tom,104,Rabobank Cycling Team,",, ,,",,,,1,2012
37,105.0,+0:10,,,Hunt Jeremy,105,Sky Procycling,",, ,,",,,,1,2012
26,106.0,+0:10,,,Timmer Albert,106,Argos - Shimano,",, ,,",,,,1,2012
25,107.0,+0:10,,,Klemme Dominic,107,Argos - Shimano,",, ,,",,,,1,2012
30,108.0,+0:10,,,Caccia Diego,108,Farnese Vini-Neri-Sottoli,",, ,,",,,,1,2012
23,109.0,+0:31,,,Bertolini Thomas,109,Farnese Vini-Neri-Sottoli,0:21 0:21,,,,1,2012
25,110.0,+0:33,,,De Negri Pier Paolo,110,Farnese Vini-Neri-Sottoli,0:23 0:23,,,,1,2012
29,118.0,+0:59,,,Benenati Cristian,111,Farnese Vini-Neri-Sottoli,0:29 0:29,,,,1,2012
22,111.0,+0:41,,,Yoshida Hayato,112,Team Bridgestone Anchor,0:31 0:31,,,,1,2012
24,112.0,+0:43,,,Avery Clinton,113,Champion System Pro Cycling Team,0:33 0:33,,,,1,2012
25,113.0,+0:47,,,Sys Klaas,114,Team Bridgestone Anchor,0:37 0:37,,,,1,2012
27,114.0,+0:47,,,Vandenbergh Stijn,115,Omega Pharma - Quick-Step,",, 0:37",,,,1,2012
32,115.0,+0:54,,,Fischer Murilo Antonio,116,Team Garmin - Barracuda,0:44 0:44,,,,1,2012
26,116.0,+0:54,,,Bauer Jack,117,Team Garmin - Barracuda,",, 0:44",,,,1,2012
22,117.0,+0:54,,,Debusschere Jens,118,Lotto Belisol Team,",, 0:44",,,,1,2012
31,119.0,+1:14,,,Davis Allan,119,Orica GreenEDGE,1:04 1:04,,,,1,2012
28,120.0,+3:04,,,Xu Gang,120,Champion System Pro Cycling Team,2:54 2:54,,,,1,2012
24,121.0,+3:04,,,Galimzyanov Denis,121,Team Katusha,",, 2:54",,,,1,2012
24,122.0,+3:04,,,Nishizono Ryota,122,Team Bridgestone Anchor,",, 2:54",,,,1,2012
23,123.0,+3:28,,,Huang Chin-lung,123,RTS Racing Team,3:18 3:18,,,,1,2012
23,123.0,+3:28,,,Huang Chin-lung,124,RTS Racing Team,12:38 12:38,,,,1,2012
33,125.0,+12:48,,,Kudentsov Sergei,125,,",, 12:38",,,,1,2012
26,126.0,+12:48,,,Chang Wei Kei,126,RTS Racing Team,",, 12:38",,,,1,2012
23,,+ -3:11:22,,,Vermeltfoort Coen,DNF,Rabobank Cycling Team,-3:11:32 -3:11:32,,,,1,2012
26,,+ -3:11:22,,,Clarke William,DNS,Champion System Pro Cycling Team,",, -3:11:32",,,,1,2012
31,1.0,+0:00,,1.0,Boonen Tom,1,Omega Pharma - Quick-Step,3:24:07 3:24:07,+0:00,10.0,-,2,2012
27,2.0,+0:00,,4.0,Farrar Tyler,2,Team Garmin - Barracuda,",, ,,",+-1:53,,\u25b22,2,2012
31,3.0,+0:03,,46.0,Vansummeren Johan,3,Team Garmin - Barracuda,0:03 0:03,+-1:53,,\u25b243,2,2012
24,4.0,+0:03,,52.0,Navardauskas Ramunas,4,Team Garmin - Barracuda,",, 0:03",+-1:53,,\u25b248,2,2012
27,5.0,+0:03,,79.0,Dekker Thomas,5,Team Garmin - Barracuda,",, 0:03",+-1:53,,\u25b274,2,2012
34,6.0,+0:03,,92.0,Hunter Robert,6,Team Garmin - Barracuda,",, 0:03",+-1:53,,\u25b286,2,2012
22,7.0,+0:10,,6.0,Appollonio Davide,7,Sky Procycling,0:10 0:10,+0:02,,\u25bc1,2,2012
31,8.0,+0:10,,16.0,Chicchi Francesco,8,Omega Pharma - Quick-Step,",, 0:10",+0:00,,\u25b28,2,2012
31,9.0,+0:10,,18.0,Steegmans Gert,9,Omega Pharma - Quick-Step,",, 0:10",+0:00,,\u25b29,2,2012
20,10.0,+0:10,,22.0,van Keirsbulck Guillaume,10,Omega Pharma - Quick-Step,",, 0:10",+0:00,,\u25b212,2,2012
20,11.0,+0:10,,7.0,Haller Marco,11,Team Katusha,",, 0:10",+0:02,,\u25bc4,2,2012
28,12.0,+0:10,,94.0,Rabon Frantisek,12,Omega Pharma - Quick-Step,",, 0:10",+0:00,,\u25b282,2,2012
26,13.0,+0:10,,99.0,Brammeier Matthew,13,Omega Pharma - Quick-Step,",, 0:10",+0:00,,\u25b286,2,2012
22,14.0,+0:12,,3.0,Sagan Peter,14,Liquigas - Cannondale,0:12 0:12,+0:06,,\u25bc11,2,2012
24,15.0,+0:12,,11.0,Kristoff Alexander,15,Team Katusha,",, 0:12",+0:02,,\u25bc4,2,2012
25,16.0,+0:12,,27.0,Isaychev Vladimir,16,Team Katusha,",, 0:12",+0:02,,\u25b211,2,2012
30,17.0,+0:12,,28.0,Eisel Bernhard,17,Sky Procycling,",, 0:12",+0:02,,\u25b211,2,2012
24,18.0,+0:12,,29.0,Smukulis Gatis,18,Team Katusha,",, 0:12",+0:02,,\u25b211,2,2012
36,19.0,+0:12,,47.0,Barry Michael,19,Sky Procycling,",, 0:12",+0:02,,\u25b228,2,2012
26,20.0,+0:12,,51.0,Cavendish Mark,20,Sky Procycling,",, 0:12",+0:02,,\u25b231,2,2012
34,21.0,+0:12,,54.0,Flecha Juan Antonio,21,Sky Procycling,",, 0:12",+0:02,,\u25b233,2,2012
22,22.0,+0:12,,58.0,Selig R\xfcdiger,22,Team Katusha,",, 0:12",+0:02,,\u25b236,2,2012
26,23.0,+0:12,,77.0,Ignatyev Mikhail,23,Team Katusha,",, 0:12",+0:02,,\u25b254,2,2012
30,24.0,+0:12,,78.0,Knees Christian,24,Sky Procycling,",, 0:12",+0:02,,\u25b254,2,2012
22,25.0,+0:13,,2.0,Blythe Adam,25,BMC Racing Team,0:13 0:13,+0:09,,\u25bc23,2,2012
32,26.0,+0:15,,35.0,Kuchynski Aliaksandr,26,Team Katusha,0:15 0:15,+0:05,,\u25b29,2,2012
25,27.0,+0:16,,10.0,Oss Daniel,27,Liquigas - Cannondale,0:16 0:16,+0:06,,\u25bc17,2,2012
26,28.0,+0:16,,25.0,Sabatini Fabio,28,Liquigas - Cannondale,",, 0:16",+0:06,,\u25bc3,2,2012
27,29.0,+0:16,,61.0,Marangoni Alan,29,Liquigas - Cannondale,",, 0:16",+0:06,,\u25b232,2,2012
26,30.0,+0:16,,69.0,Bodnar Maciej,30,Liquigas - Cannondale,",, 0:16",+0:06,,\u25b239,2,2012
31,31.0,+0:16,,98.0,Vanotti Alessandro,31,Liquigas - Cannondale,",, 0:16",+0:06,,\u25b267,2,2012
28,32.0,+0:17,,13.0,Wagner Robert,32,RadioShack - Nissan,0:17 0:17,+0:07,,\u25bc19,2,2012
23,33.0,+0:17,,15.0,Nizzolo Giacomo,33,RadioShack - Nissan,",, 0:17",+0:07,,\u25bc18,2,2012
23,34.0,+0:17,,70.0,Gallopin Tony,34,RadioShack - Nissan,",, 0:17",+0:07,,\u25b236,2,2012
30,35.0,+0:17,,74.0,Cancellara Fabian,35,RadioShack - Nissan,",, 0:17",+0:07,,\u25b239,2,2012
32,36.0,+0:17,,88.0,Irizar Markel,36,RadioShack - Nissan,",, 0:17",+0:07,,\u25b252,2,2012
30,37.0,+0:17,,5.0,Hansen Adam,37,Lotto Belisol Team,",, 0:17",+0:10,,\u25bc32,2,2012
29,38.0,+0:19,,8.0,Renshaw Mark,38,Rabobank Cycling Team,0:19 0:19,+0:10,,\u25bc30,2,2012
33,39.0,+0:19,,21.0,Cooke Baden,39,Orica GreenEDGE,",, 0:19",+0:09,,\u25bc18,2,2012
34,40.0,+0:19,,24.0,Hushovd Thor,40,BMC Racing Team,",, 0:19",+0:09,,\u25bc16,2,2012
25,41.0,+0:19,,38.0,Kruopis Aidis,41,Orica GreenEDGE,",, 0:19",+0:09,,\u25bc3,2,2012
34,42.0,+0:19,,40.0,Tuft Svein,42,Orica GreenEDGE,",, 0:19",+0:09,,\u25bc2,2,2012
21,43.0,+0:19,,41.0,Phinney Taylor,43,BMC Racing Team,",, 0:19",+0:09,,\u25bc2,2,2012
28,44.0,+0:19,,44.0,Beppu Fumiyuki,44,Orica GreenEDGE,",, 0:19",+0:09,,-,2,2012
31,45.0,+0:19,,68.0,Mouris Jens,45,Orica GreenEDGE,",, 0:19",+0:09,,\u25b223,2,2012
29,46.0,+0:19,,76.0,Gilbert Philippe,46,BMC Racing Team,",, 0:19",+0:09,,\u25b230,2,2012
26,47.0,+0:19,,80.0,Kohler Martin,47,BMC Racing Team,",, 0:19",+0:09,,\u25b233,2,2012
23,48.0,+0:19,,96.0,Lodewyck Klaas,48,BMC Racing Team,",, 0:19",+0:09,,\u25b248,2,2012
27,49.0,+0:19,,100.0,Langeveld Sebastian,49,Orica GreenEDGE,",, 0:19",+0:09,,\u25b251,2,2012
29,50.0,+0:20,,17.0,Sieberg Marcel,50,Lotto Belisol Team,0:20 0:20,+0:10,,\u25bc33,2,2012
32,51.0,+0:20,,23.0,Bak Lars Ytting,51,Lotto Belisol Team,",, 0:20",+0:10,,\u25bc28,2,2012
24,52.0,+0:20,,32.0,van Winden Dennis,52,Rabobank Cycling Team,",, 0:20",+0:10,,\u25bc20,2,2012
29,53.0,+0:20,,43.0,Wynants Maarten,53,Rabobank Cycling Team,",, 0:20",+0:10,,\u25bc10,2,2012
32,54.0,+0:20,,62.0,Brown Graeme,54,Rabobank Cycling Team,",, 0:20",+0:10,,\u25b28,2,2012
32,55.0,+0:20,,71.0,Willems Frederik,55,Lotto Belisol Team,",, 0:20",+0:10,,\u25b216,2,2012
35,56.0,+0:20,,86.0,Henderson Gregory,56,Lotto Belisol Team,",, 0:20",+0:10,,\u25b230,2,2012
34,57.0,+0:20,,91.0,Tjallingii Maarten,57,Rabobank Cycling Team,",, 0:20",+0:10,,\u25b234,2,2012
26,58.0,+0:20,,104.0,Leezer Tom,58,Rabobank Cycling Team,",, 0:20",+0:10,,\u25b246,2,2012
24,59.0,+0:23,,34.0,Stannard Ian,59,Sky Procycling,0:23 0:23,+0:13,,\u25bc25,2,2012
20,60.0,+0:26,,14.0,D\xe9mare Arnaud,60,FDJ - BigMat,0:26 0:26,+0:16,,\u25bc46,2,2012
23,61.0,+0:26,,20.0,Soupe Geoffrey,61,FDJ - BigMat,",, 0:26",+0:16,,\u25bc41,2,2012
29,62.0,+0:26,,31.0,Rollin Dominique,62,FDJ - BigMat,",, 0:26",+0:16,,\u25bc31,2,2012
31,63.0,+0:26,,33.0,Boucher David,63,FDJ - BigMat,",, 0:26",+0:16,,\u25bc30,2,2012
26,64.0,+0:26,,39.0,Delage Micka\xebl,64,FDJ - BigMat,",, 0:26",+0:16,,\u25bc25,2,2012
35,65.0,+0:26,,50.0,Rasch Gabriel,65,FDJ - BigMat,",, 0:26",+0:16,,\u25bc15,2,2012
25,66.0,+0:26,,57.0,Offredo Yoann,66,FDJ - BigMat,",, 0:26",+0:16,,\u25bc9,2,2012
27,67.0,+0:26,,90.0,Ladagnous Matthieu,67,FDJ - BigMat,",, 0:26",+0:16,,\u25b223,2,2012
23,68.0,+0:27,,19.0,Degenkolb John,68,Argos - Shimano,0:27 0:27,+0:17,,\u25bc49,2,2012
27,69.0,+0:27,,36.0,Veelers Tom,69,Argos - Shimano,",, 0:27",+0:17,,\u25bc33,2,2012
26,70.0,+0:27,,45.0,Kluge Roger,70,Argos - Shimano,",, 0:27",+0:17,,\u25bc25,2,2012
29,71.0,+0:27,,65.0,de Kort Koen,71,Argos - Shimano,",, 0:27",+0:17,,\u25bc6,2,2012
22,72.0,+0:27,,66.0,Sinkeldam Ramon,72,Argos - Shimano,",, 0:27",+0:17,,\u25bc6,2,2012
26,73.0,+0:27,,106.0,Timmer Albert,73,Argos - Shimano,",, 0:27",+0:17,,\u25b233,2,2012
32,74.0,+0:29,,30.0,Curvers Roy,74,Argos - Shimano,0:29 0:29,+0:19,,\u25bc44,2,2012
28,75.0,+0:34,,83.0,Ascani Luca,75,Farnese Vini-Neri-Sottoli,0:34 0:34,+0:24,,\u25b28,2,2012
22,76.0,+0:34,,84.0,Guardini Andrea,76,Farnese Vini-Neri-Sottoli,",, 0:34",+0:24,,\u25b28,2,2012
30,77.0,+0:34,,85.0,Pozzato Filippo,77,Farnese Vini-Neri-Sottoli,",, 0:34",+0:24,,\u25b28,2,2012
30,78.0,+0:34,,108.0,Caccia Diego,78,Farnese Vini-Neri-Sottoli,",, 0:34",+0:24,,\u25b230,2,2012
39,79.0,+0:37,,37.0,McEwen Robbie,79,Orica GreenEDGE,0:37 0:37,+0:27,,\u25bc42,2,2012
30,80.0,+0:44,,59.0,Da Dalto Mauro,80,Liquigas - Cannondale,0:44 0:44,+0:34,,\u25bc21,2,2012
26,81.0,+0:47,,116.0,Bauer Jack,81,Team Garmin - Barracuda,0:47 0:47,+-1:53,,\u25b235,2,2012
23,82.0,+0:55,,109.0,Bertolini Thomas,82,Farnese Vini-Neri-Sottoli,0:55 0:55,+0:24,,\u25b227,2,2012
25,83.0,+0:57,,110.0,De Negri Pier Paolo,83,Farnese Vini-Neri-Sottoli,0:57 0:57,+0:24,,\u25b227,2,2012
27,84.0,+1:06,,26.0,Friedemann Matthias,84,Champion System Pro Cycling Team,1:06 1:06,+0:56,,\u25bc58,2,2012
31,85.0,+1:06,,42.0,Gardeyn Gorik,85,Champion System Pro Cycling Team,",, 1:06",+0:56,,\u25bc43,2,2012
28,86.0,+1:06,,48.0,Kemps Aaron,86,Champion System Pro Cycling Team,",, 1:06",+0:56,,\u25bc38,2,2012
30,87.0,+1:06,,73.0,Ojavee Mart,87,Champion System Pro Cycling Team,",, 1:06",+0:56,,\u25bc14,2,2012
26,88.0,+1:06,,81.0,van Emden Jos,88,Rabobank Cycling Team,",, 1:06",+0:56,,\u25bc7,2,2012
25,89.0,+1:11,,53.0,Schar Michael,89,BMC Racing Team,1:11 1:11,+1:01,,\u25bc36,2,2012
26,90.0,+1:11,,60.0,Wyss Danilo,90,BMC Racing Team,",, 1:11",+1:01,,\u25bc30,2,2012
31,91.0,+1:11,,63.0,Longo Borghini Paolo,91,Liquigas - Cannondale,",, 1:11",+1:01,,\u25bc28,2,2012
32,92.0,+1:13,,115.0,Fischer Murilo Antonio,92,Team Garmin - Barracuda,1:13 1:13,+0:19,,\u25b223,2,2012
30,93.0,+1:14,,55.0,Shimizu Miyataka,93,Team Bridgestone Anchor,1:14 1:14,+1:04,,\u25bc38,2,2012
26,94.0,+1:14,,87.0,Lebas Thomas,94,Team Bridgestone Anchor,",, 1:14",+1:04,,\u25bc7,2,2012
23,95.0,+1:14,,89.0,Lemair Alexandre,95,Team Bridgestone Anchor,",, 1:14",+1:04,,\u25bc6,2,2012
26,96.0,+1:14,,93.0,Sonnery Blaise,96,Team Bridgestone Anchor,",, 1:14",+1:04,,\u25bc3,2,2012
30,97.0,+1:14,,102.0,Inoue Kazuo,97,Team Bridgestone Anchor,",, 1:14",+1:04,,\u25b25,2,2012
33,98.0,+1:21,,64.0,Hulsmans Kevin,98,Farnese Vini-Neri-Sottoli,1:21 1:21,+1:11,,\u25bc34,2,2012
31,99.0,+1:23,,119.0,Davis Allan,99,Orica GreenEDGE,1:23 1:23,+0:09,,\u25b220,2,2012
38,100.0,+1:37,,67.0,McCann David,100,RTS Racing Team,1:37 1:37,+1:27,,\u25bc33,2,2012
28,101.0,+1:37,,82.0,Crawford Jai,101,Genesys Wealth Advisers,",, 1:37",+1:27,,\u25bc19,2,2012
28,102.0,+1:37,,95.0,Coutts Alex,102,RTS Racing Team,",, 1:37",+1:27,,\u25bc7,2,2012
39,103.0,+1:37,,97.0,Rodgers Lee,103,CCN Cycling Team,",, 1:37",+1:27,,\u25bc6,2,2012
24,104.0,+1:39,,112.0,Avery Clinton,104,Champion System Pro Cycling Team,1:39 1:39,+0:56,,\u25b28,2,2012
22,105.0,+1:45,,111.0,Yoshida Hayato,105,Team Bridgestone Anchor,1:45 1:45,+1:04,,\u25b26,2,2012
20,106.0,+1:48,,75.0,Rathe Jacob,106,Team Garmin - Barracuda,1:48 1:48,+1:38,,\u25bc31,2,2012
37,107.0,+1:50,,105.0,Hunt Jeremy,107,Sky Procycling,1:50 1:50,+1:40,,\u25bc2,2,2012
25,108.0,+1:51,,113.0,Sys Klaas,108,Team Bridgestone Anchor,1:51 1:51,+1:04,,\u25b25,2,2012
32,109.0,+1:56,,72.0,Popovych Yaroslav,109,RadioShack - Nissan,1:56 1:56,+1:46,,\u25bc37,2,2012
30,110.0,+1:56,,101.0,Posthuma Joost,110,RadioShack - Nissan,",, 1:56",+1:46,,\u25bc9,2,2012
25,111.0,+2:02,,107.0,Klemme Dominic,111,Argos - Shimano,2:02 2:02,+1:52,,\u25bc4,2,2012
32,112.0,+2:03,,56.0,Rast Gregory,112,RadioShack - Nissan,2:03 2:03,+1:53,,\u25bc56,2,2012
27,113.0,+2:12,,114.0,Vandenbergh Stijn,113,Omega Pharma - Quick-Step,2:12 2:12,+1:25,,\u25b21,2,2012
30,114.0,+2:16,,49.0,Sohrabi Mehdi,114,Lotto Belisol Team,2:16 2:16,+2:06,,\u25bc65,2,2012
25,115.0,+2:18,,9.0,Maes Nikolas,115,Omega Pharma - Quick-Step,2:18 2:18,+2:09,,\u25bc106,2,2012
